2014-12-09 23:35:33.831 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 72494, moves: 6 Player 2: searchType: 1, heuristic: 2, searchDepth: 1, average Time: 92, moves: 6, winner:1
2014-12-09 23:35:35.188 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 92420, moves: 14 Player 2: searchType: 1, heuristic: 2, searchDepth: 2, average Time: 1282, moves: 14, winner:1
2014-12-09 23:35:36.332 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 64589, moves: 14 Player 2: searchType: 1, heuristic: 2, searchDepth: 3, average Time: 13807, moves: 14, winner:1
2014-12-09 23:35:42.641 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 70955, moves: 22 Player 2: searchType: 1, heuristic: 2, searchDepth: 4, average Time: 212795, moves: 22, winner:1
2014-12-09 23:36:48.108 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 79824, moves: 17 Player 2: searchType: 1, heuristic: 2, searchDepth: 5, average Time: 3767913, moves: 17, winner:1
2014-12-09 23:36:54.560 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 712691, moves: 9 Player 2: searchType: 2, heuristic: 0, searchDepth: 1, average Time: 84, moves: 9, winner:1
2014-12-09 23:36:58.700 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 176550, moves: 23 Player 2: searchType: 2, heuristic: 0, searchDepth: 2, average Time: 641, moves: 24, winner:0
2014-12-09 23:37:05.272 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 348690, moves: 18 Player 2: searchType: 2, heuristic: 0, searchDepth: 3, average Time: 13351, moves: 18, winner:1
2014-12-09 23:37:10.019 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 187919, moves: 21 Player 2: searchType: 2, heuristic: 0, searchDepth: 4, average Time: 35134, moves: 21, winner:1
2014-12-09 23:37:13.114 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 150357, moves: 11 Player 2: searchType: 2, heuristic: 0, searchDepth: 5, average Time: 127171, moves: 11, winner:1
2014-12-09 23:37:14.354 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 150566, moves: 8 Player 2: searchType: 2, heuristic: 1, searchDepth: 1, average Time: 172, moves: 8, winner:1
2014-12-09 23:37:15.218 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 90346, moves: 9 Player 2: searchType: 2, heuristic: 1, searchDepth: 2, average Time: 1674, moves: 9, winner:1
2014-12-09 23:37:16.473 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 91439, moves: 11 Player 2: searchType: 2, heuristic: 1, searchDepth: 3, average Time: 19106, moves: 11, winner:1
2014-12-09 23:37:18.646 PolarTicTacToe[15968:4254014] Player 1: searchType: 1, heuristic: 0, searchDepth: 4, average Time: 60738, moves: 8 Player 2: searchType: 2, heuristic: 1, searchDepth: 4, average Time: 206424, moves: 8, winner:1
